[Nacho Fernandez] | [Real Madrid] | [2022/2023] | Goals: 1 | Assists: 1
[Nacho Fernandez] | [Real Madrid] | [2021/2022] | Goals: 3 | Assists: 0
[Nacho Fernandez] | [Real Madrid] | [2020/2021] | Goals: 1 | Assists: 0
[Nacho Fernandez] | [Real Madrid] | [2019/2020] | Goals: 2 | Assists: 0
[Nacho Fernandez] | [Real Madrid] | [2018/2019] | Goals: 0 | Assists: 1
[Nacho Fernandez] | [Real Madrid] | [2017/2018] | Goals: 4 | Assists: 0
[Nacho Fernandez] | [Real Madrid] | [2016/2017] | Goals: 3 | Assists: 3
[Nacho Fernandez] | [Real Madrid] | [2015/2016] | Goals: 1 | Assists: 0
[Virgil van Dijk] | [Liverpool] | [2023/2024] | Goals: 4 | Assists: 2
[Virgil van Dijk] | [Liverpool] | [2022/2023] | Goals: 3 | Assists: 1
[Virgil van Dijk] | [Liverpool] | [2021/2022] | Goals: 3 | Assists: 1
[Virgil van Dijk] | [Liverpool] | [2020/2021] | Goals: 1 | Assists: 0
[Virgil van Dijk] | [Liverpool] | [2019/2020] | Goals: 5 | Assists: 2
[Virgil van Dijk] | [Liverpool] | [2018/2019] | Goals: 6 | Assists: 4
[Virgil van Dijk] | [Liverpool] | [2017/2018] | Goals: 1 | Assists: 0
[Virgil van Dijk] | [Liverpool] | [2016/2017] | Goals: 0 | Assists: 0
[Virgil van Dijk] | [Liverpool] | [2015/2016] | Goals: 4 | Assists: 0
[Sergi Roberto] | [Barcelona] | [2023/2024] | Goals: 3 | Assists: 3
[Sergi Roberto] | [Barcelona] | [2022/2023] | Goals: 4 | Assists: 3
[Sergi Roberto] | [Barcelona] | [2021/2022] | Goals: 2 | Assists: 1
[Sergi Roberto] | [Barcelona] | [2020/2021] | Goals: 1 | Assists: 2
[Sergi Roberto] | [Barcelona] | [2019/2020] | Goals: 1 | Assists: 2
[Sergi Roberto] | [Barcelona] | [2018/2019] | Goals: 1 | Assists: 7
[Sergi Roberto] | [Barcelona] | [2017/2018] | Goals: 1 | Assists: 8
[Sergi Roberto] | [Barcelona] | [2016/2017] | Goals: 1 | Assists: 6
[Joao Cancelo] | [Barcelona] | [2023/2024] | Goals: 4 | Assists: 5
[Joao Cancelo] | [Bayern Munchen] | [2022/2023] | Goals: 1 | Assists: 6
[Joao Cancelo] | [Man City] | [2021/2022] | Goals: 2 | Assists: 4
[Joao Cancelo] | [Man City] | [2020/2021] | Goals: 3 | Assists: 10
[Joao Cancelo] | [Man City] | [2019/2020] | Goals: 3 | Assists: 5
[Joao Cancelo] | [Juventus] | [2018/2019] | Goals: 1 | Assists: 5
[Joao Cancelo] | [Inter] | [2017/2018] | Goals: 1 | Assists: 3
[Joao Cancelo] | [Valencia] | [2016/2017] | Goals: 0 | Assists: 0
[Roberto Firmino] | [Al Ahli] | [2023/2024] | Goals: 9 | Assists: 7
[Roberto Firmino] | [Liverpool] | [2022/2023] | Goals: 13 | Assists: 5
[Roberto Firmino] | [Liverpool] | [2021/2022] | Goals: 11 | Assists: 5
[Roberto Firmino] | [Liverpool] | [2020/2021] | Goals: 9 | Assists: 9
[Roberto Firmino] | [Liverpool] | [2019/2020] | Goals: 12 | Assists: 12
[Roberto Firmino] | [Liverpool] | [2018/2019] | Goals: 16 | Assists: 7
[Roberto Firmino] | [Liverpool] | [2017/2018] | Goals: 27 | Assists: 16
[Roberto Firmino] | [Liverpool] | [2016/2017] | Goals: 12 | Assists: 8
[Roberto Firmino] | [Liverpool] | [2015/2016] | Goals: 11 | Assists: 9
[Kai Havertz] | [Arsenal] | [2023/2024] | Goals: 14 | Assists: 7
[Kai Havertz] | [Chelsea] | [2022/2023] | Goals: 9 | Assists: 1
[Kai Havertz] | [Chelsea] | [2021/2022] | Goals: 14 | Assists: 5
[Kai Havertz] | [Chelsea] | [2020/2021] | Goals: 9 | Assists: 6
[Kai Havertz] | [Leverkusen] | [2019/2020] | Goals: 18 | Assists: 9
[Kai Havertz] | [Leverkusen] | [2018/2019] | Goals: 20 | Assists: 6
[Kai Havertz] | [Leverkusen] | [2017/2018] | Goals: 4 | Assists: 8
[Kai Havertz] | [Leverkusen] | [2016/2017] | Goals: 4 | Assists: 5
[Koke] | [Atletico Madrid] | [2023/2024] | Goals: 0 | Assists: 6
[Koke] | [Atletico Madrid] | [2022/2023] | Goals: 0 | Assists: 3
[koke] | [Atletico Madrid] | [2021/2022] | Goals: 1 | Assists: 3
[Koke] | [Atletico Madrid] | [2020/2021] | Goals: 1 | Assists: 2
[Koke] | [Atletico Madrid] | [2019/2020] | Goals: 5 | Assists: 6
[Koke] | [Atletico Madrid] | [2018/2019] | Goals: 6 | Assists: 5
[koke] | [Atletico Madrid] | [2017/2018] | Goals: 6 | Assists: 7
[Koke] | [Atletico Madrid] | [2016/2017] | Goals: 5 | Assists: 10
[Koke] | [Atletico Madrid] | [2015/2016] | Goals: 5 | Assists: 15
[Jose Gimenez] | [Atletico Madrid] | [2023/2024] | Goals: 0 | Assists: 1
[Jose Gimenez] | [Atletico Madrid] | [2022/2023] | Goals: 2 | Assists: 1
[Jose Gimenez] | [Atletico Madrid] | [2021/2022] | Goals: 1 | Assists: 1
[Jose Gimenez] | [Atletico Madrid] | [2020/2021] | Goals: 1 | Assists: 0
[Jose Gimenez] | [Atletico Madrid] | [2019/2020] | Goals: 0 | Assists: 1
[Jose Gimenez] | [Atletico Madrid] | [2018/2019] | Goals: 2 | Assists: 0
[Jose Gimenez] | [Atletico Madrid] | [2017/2018] | Goals: 2 | Assists: 2
[Jose Gimenez] | [Atletico Madrid] | [2016/2017] | Goals: 1 | Assists: 1
[Christopher Nkunku] | [Chelsea] | [2023/2024] | Goals: 3 | Assists: 0
[Christopher Nkunku] | [RB Leipzig] | [2022/2023] | Goals: 23 | Assists: 7
[Christopher Nkunku] | [RB Leipzig] | [2021/2022] | Goals: 35 | Assists: 16
[Christopher Nkunku] | [RB Leipzig] | [2020/2021] | Goals: 7 | Assists: 9
[Christopher Nkunku] | [RB Leipzig] | [2019/2020] | Goals: 5 | Assists: 13
[Christopher Nkunku] | [PSG] | [2018/2019] | Goals: 4 | Assists: 2
[Christopher Nkunku] | [PSG] | [2017/2018] | Goals: 5 | Assists: 0
[Christopher Nkunku] | [PSG] | [2016/2017] | Goals: 2 | Assists: 1
[Andrew Robertson] | [Liverpool] | [2023/2024] | Goals: 3 | Assists: 2
[Andrew Robertson] | [Liverpool] | [2022/2023] | Goals: 0 | Assists: 11
[Andrew Robertson] | [Liverpool] | [2021/2022] | Goals: 3 | Assists: 15
[Andrew Robertson] | [Liverpool] | [2020/2021] | Goals: 1 | Assists: 7
[Andrew Robertson] | [Liverpool] | [2019/2020] | Goals: 3 | Assists: 12
[Andrew Robertson] | [Liverpool] | [2018/2019] | Goals: 0 | Assists: 13
[Andrew Robertson] | [Liverpool] | [2017/2018] | Goals: 1 | Assists: 5
[Andrew Robertson] | [Hull] | [2016/2017] | Goals: 1 | Assists: 3
[Trent Alexander-Arnold] | [Liverpool] | [2023/2024] | Goals: 3 | Assists: 9
[Trent Alexander-Arnold] | [Liverpool] | [2022/2023] | Goals: 4 | Assists: 10
[Trent Alexander-Arnold] | [Liverpool] | [2021/2022] | Goals: 2 | Assists: 18
[Trent Alexander-Arnold] | [Liverpool] | [2020/2021] | Goals: 2 | Assists: 9
